test_id	gene	SGCore_FPKM	Total_FPKM	Fold change	Localization	test_stat	p_value	q_value	significant	Number of RNA molecules in SGs per cell	Number of RNA molecules in cell	Fraction of RNA molecules in SGs	Translation efficiency	Transcript length	5'UTR length	3'UTR length	CDS length	GC content	Mito
ENSG00000125354	42984	6.635	8.635	0.768	Neither	1.45241	0.0105	0.0307001	yes	0.609	6.756	0.090	#N/A	4694	264	173	1305	47.21	#N/A
ENSG00000122545	42985	35.282	50.159	0.703	Neither	1.26938	0.02595	0.067304	no	3.239	39.248	0.083	#N/A	6952	338	2811	1314	36.13	#N/A
ENSG00000164402	42986	22.744	16.325	1.393	Neither	-1.73731	0.0016	0.00575028	yes	2.088	12.774	0.163	#N/A	4394	283	313	1452	48.12	#N/A
ENSG00000184640	42987	222.206	178.771	1.243	Neither	-0.978796	0.08075	0.174728	no	20.397	139.883	0.146	#N/A	4453	811	189	1761	54.75	#N/A
ENSG00000186522	42988	21.343	47.421	0.450	depleted	3.01149	0.00005	0.000236361	yes	1.959	37.105	0.053	#N/A	3091	395	168	1635	40.38	#N/A
ENSG00000138758	42989	258.260	169.936	1.520	Neither	-1.08612	0.053	0.123125	no	23.707	132.970	0.178	#N/A	5593	326	641	1320	40.66	#N/A
ENSG00000183291	42993	17.855	75.910	0.235	depleted	2.08551	0.00005	0.000236361	yes	1.639	59.398	0.028	#N/A	1835	312	164	498	37.87	#N/A
ENSG00000121410	A1BG	1.602	17.462	0.092	depleted	3.06474	0.00015	0.000660424	yes	0.147	13.664	0.011	#N/A	2301	61	171	1488	55.83	Tnon_mito
ENSG00000175899	A2M	6.023	2.784	2.164	enriched	-1.94772	0.001	0.00374721	yes	0.553	2.178	0.254	#N/A	4844	307	49	4425	37.18	Tnon_mito
ENSG00000094914	AAAS	25.170	40.009	0.629	Neither	2.50988	0.00005	0.000236361	yes	2.310	31.306	0.074	1.37802071346375	2016	196	28	1641	49.39	Tnon_mito
ENSG00000081760	AACS	14.224	17.475	0.814	Neither	0.759092	0.1831	0.325656	no	1.306	13.674	0.095	1.69163763066202	6646	205	1090	2019	51.22	Tnon_mito
ENSG00000109576	AADAT	3.775	3.138	1.203	Neither	-0.775901	0.17815	0.319856	no	0.347	2.455	0.141	0.298534798534798	2261	276	698	1290	38.78	Tpossible_mito
ENSG00000158122	AAED1	3.953	6.398	0.618	Neither	1.38613	0.0142	0.0399657	yes	0.363	5.006	0.072	1.01158301158301	2863	#N/A	2181	681	43.4	Tnon_mito
ENSG00000103591	AAGAB	28.833	40.460	0.713	Neither	1.90572	0.00115	0.00426305	yes	2.647	31.658	0.084	0.596616541353384	2841	261	80	948	39.49	Tnon_mito
ENSG00000115977	AAK1	51.272	14.753	3.475	enriched	-3.19652	0.00005	0.000236361	yes	4.706	11.544	0.408	1.63139931740614	11345	233	427	2886	41.95	Tnon_mito
ENSG00000087884	AAMDC	1.882	8.347	0.225	depleted	1.81326	0.00525	0.0165951	yes	0.173	6.532	0.026	0.561046511627907	726	127	#N/A	507	41.82	Tnon_mito
ENSG00000127837	AAMP	82.029	100.789	0.814	Neither	1.22726	0.0317	0.0798358	no	7.530	78.865	0.095	0.948996655518395	2270	170	172	1308	56.53	Tnon_mito
ENSG00000131043	AAR2	15.390	15.810	0.973	Neither	0.18391	0.74685	0.834485	no	1.413	12.371	0.114	0.956470588235294	2689	297	175	1197	47.41	Tnon_mito
ENSG00000205002	AARD	2.425	2.251	1.077	Neither	-0.238381	0.66965	0.779018	no	0.223	1.762	0.126	#N/A	2299	44	1785	468	43.15	Tnon_mito
ENSG00000090861	AARS	85.089	40.527	2.100	enriched	-3.3402	0.00005	0.000236361	yes	7.811	31.711	0.246	0.908713029576339	3477	122	425	2907	49.47	Tnon_mito
ENSG00000124608	AARS2	12.852	6.344	2.026	enriched	-4.33642	0.00005	0.000236361	yes	1.180	4.964	0.238	0.383843717001056	3854	2	892	2958	54.66	Tmito
ENSG00000266967	AARSD1	19.301	33.361	0.579	Neither	2.67627	0.00005	0.000236361	yes	1.772	26.104	0.068	#N/A	1322	143	7	1239	48.21	Tnon_mito
ENSG00000157426	AASDH	6.197	3.556	1.743	Neither	-1.364	0.01835	0.0499347	yes	0.569	2.782	0.204	0.22707100591716	3590	271	285	3297	38.98	Tnon_mito
ENSG00000149313	AASDHPPT	15.761	29.661	0.531	Neither	2.92744	0.00005	0.000236361	yes	1.447	23.209	0.062	1.02632628639809	5145	221	#N/A	930	36.57	Tnon_mito
ENSG00000008311	AASS	2.443	1.797	1.359	Neither	-1.72747	0.0035	0.0115711	yes	0.224	1.406	0.159	0.343492985002419	3233	119	#N/A	2781	36.48	Tmito
ENSG00000183044	ABAT	5.250	3.736	1.405	Neither	-0.637714	0.1901	0.333917	no	0.482	2.923	0.165	#N/A	5586	896	3144	1548	47.35	Tmito
ENSG00000179869	ABCA13	1.846	1.941	0.951	Neither	0.118339	0.8298	0.890585	no	0.169	1.519	0.112	#N/A	17184	25	1982	15177	38.84	Tnon_mito
ENSG00000107331	ABCA2	14.868	10.110	1.471	Neither	-0.97602	0.0696	0.154364	no	1.365	7.911	0.173	0.654605263157895	8154	147	#N/A	7401	66.66	Tnon_mito
ENSG00000154265	ABCA5	1.441	1.564	0.921	Neither	0.251306	0.64715	0.761486	no	0.132	1.224	0.108	0.383442265795207	8220	1009	#N/A	4929	34.61	Tnon_mito
ENSG00000064687	ABCA7	1.089	1.692	0.644	Neither	0.692381	0.20515	0.351632	no	0.100	1.324	0.076	0.382566585956416	6816	159	143	6441	60.49	Tnon_mito
ENSG00000085563	ABCB1	3.062	3.168	0.967	Neither	0.105079	0.8533	0.906279	no	0.281	2.479	0.113	5.02027027027027	4778	323	379	3843	37.04	Tnon_mito
ENSG00000135776	ABCB10	8.071	6.161	1.310	Neither	-1.23222	0.03895	0.095029	no	0.741	4.820	0.154	0.20778364116095	3857	42	1596	2217	43.62	Tmito
ENSG00000131269	ABCB7	12.967	12.969	1.000	Neither	0.000783026	0.99875	0.999067	no	1.190	10.148	0.117	0.691869300911854	2408	67	#N/A	2262	35.98	Tmito
ENSG00000197150	ABCB8	2.391	3.963	0.603	Neither	1.83158	0.00145	0.00527434	yes	0.219	3.101	0.071	1.20659340659341	4683	92	#N/A	2208	57.04	Tmito
ENSG00000150967	ABCB9	3.204	5.967	0.537	Neither	0.889861	0.0993	0.206964	no	0.294	4.669	0.063	0.707207207207207	6051	2751	13	2310	52.47	Tpossible_mito
ENSG00000103222	ABCC1	27.698	17.225	1.608	Neither	-1.87412	0.0007	0.00271504	yes	2.543	13.478	0.189	0.834254143646409	6594	222	1780	4596	48.48	Tnon_mito
ENSG00000124574	ABCC10	5.915	3.869	1.529	Neither	-1.13429	0.03235	0.0812779	no	0.543	3.027	0.179	0.525443786982248	5088	358	338	4479	52.94	Tnon_mito
ENSG00000108846	ABCC3	9.728	10.563	0.921	Neither	0.271049	0.64905	0.763152	no	0.893	8.265	0.108	#N/A	5716	122	#N/A	4584	51.95	Tnon_mito
ENSG00000125257	ABCC4	13.893	8.173	1.700	Neither	-2.38234	0.0001	0.000452612	yes	1.275	6.395	0.199	0.439332096474954	5839	131	190	3978	42.33	Tnon_mito
ENSG00000114770	ABCC5	12.621	9.829	1.284	Neither	-0.851138	0.1402	0.268812	no	1.159	7.691	0.151	0.446997776130467	5921	185	55	4314	44.7	Tnon_mito
ENSG00000117528	ABCD3	21.801	24.734	0.881	Neither	0.678344	0.22495	0.374595	no	2.001	19.354	0.103	0.798173312541769	4367	23	1533	1980	37.04	Tmito
ENSG00000119688	ABCD4	8.340	12.775	0.653	Neither	1.92402	0.0007	0.00271504	yes	0.766	9.996	0.077	0.346320346320346	3008	143	45	1821	51.47	Tnon_mito
ENSG00000164163	ABCE1	37.097	58.954	0.629	Neither	1.4454	0.01565	0.0435269	yes	3.405	46.129	0.074	0.824938358576964	3921	487	1605	1800	35.08	Tpossible_mito
ENSG00000033050	ABCF2	21.605	18.184	1.188	Neither	-0.503531	0.2121	0.359802	no	1.983	14.229	0.139	0.645898888189637	3546	178	1563	1905	49.19	Tmito
ENSG00000161204	ABCF3	27.825	22.792	1.221	Neither	-0.136737	0.64925	0.763352	no	2.554	17.834	0.143	0.695530726256983	2844	184	308	2130	51.95	Tnon_mito
ENSG00000118777	ABCG2	0.718	1.006	0.713	Neither	0.508028	0.36825	0.525669	no	0.066	0.787	0.084	2	4479	526	1964	1968	41.4	Tpossible_mito
ENSG00000144827	ABHD10	18.579	28.199	0.659	Neither	2.18343	0.0003	0.00124724	yes	1.705	22.065	0.077	0.84421052631579	2590	51	1641	921	35.84	Tmito
ENSG00000100997	ABHD12	15.069	23.637	0.638	Neither	1.16969	0.03255	0.0816827	no	1.383	18.495	0.075	0.852156057494867	2117	279	78	1215	47.42	Tnon_mito
ENSG00000139826	ABHD13	2.388	1.873	1.275	Neither	-1.51377	0.00815	0.0245493	yes	0.219	1.465	0.150	1.27096774193548	5338	280	4022	1014	35.43	Tnon_mito
ENSG00000248487	ABHD14A	1.842	4.146	0.444	Neither	0.829701	0.10335	0.213482	no	0.169	3.244	0.052	0.640776699029126	1113	178	177	816	54.78	Tnon_mito
ENSG00000114779	ABHD14B	12.195	29.047	0.420	depleted	3.02283	0.00005	0.000236361	yes	1.119	22.728	0.049	0.8125	2236	665	152	633	55.05	Tnon_mito
ENSG00000168792	ABHD15	4.894	2.129	2.298	Neither	-1.40203	0.0194	0.0523457	no	0.449	1.666	0.270	0.714285714285714	3592	170	2013	1407	53.06	Tnon_mito
ENSG00000183260	ABHD16B	3.084	3.325	0.927	Neither	0.417408	0.4595	0.609933	no	0.283	2.602	0.109	#N/A	1491	42	37	1410	69.89	Tnon_mito
ENSG00000129968	ABHD17A	4.309	6.706	0.643	Neither	2.04807	0.00065	0.00253947	yes	0.396	5.247	0.075	0.223832528180354	5425	237	218	1086	65.16	Tnon_mito
ENSG00000107362	ABHD17B	10.023	8.080	1.240	Neither	-1.27159	0.02655	0.0686553	no	0.920	6.322	0.146	0.701015965166909	2614	297	1634	882	37.98	Tnon_mito
ENSG00000136379	ABHD17C	8.589	3.893	2.206	enriched	-2.8216	0.00005	0.000236361	yes	0.788	3.046	0.259	1.93333333333333	2435	126	#N/A	990	42.95	Tnon_mito
ENSG00000140526	ABHD2	59.466	42.329	1.405	Neither	-1.05386	0.0632	0.14245	no	5.459	33.121	0.165	1.1041388518024	8735	413	6936	1278	44.01	Tnon_mito
ENSG00000158201	ABHD3	5.104	6.693	0.763	Neither	0.704265	0.2143	0.362388	no	0.468	5.237	0.089	1.43488943488944	2080	469	27	1230	42.45	Tnon_mito
ENSG00000100439	ABHD4	5.558	8.361	0.665	Neither	0.996394	0.0173	0.0474564	yes	0.510	6.543	0.078	2.0952380952381	3366	144	2266	1029	48.25	Tnon_mito
ENSG00000011198	ABHD5	8.599	11.830	0.727	Neither	0.816829	0.1173	0.236126	no	0.789	9.257	0.085	0.388646288209607	1690	329	#N/A	1050	40.26	Tnon_mito
ENSG00000163686	ABHD6	2.974	3.508	0.848	Neither	0.593154	0.25675	0.409174	no	0.273	2.745	0.099	0.85	2482	410	966	1014	45.11	Tpossible_mito
ENSG00000127220	ABHD8	2.167	3.612	0.600	Neither	1.08194	0.05205	0.121264	no	0.199	2.826	0.070	#N/A	2090	231	529	1320	54.9	Tnon_mito
ENSG00000136754	ABI1	20.793	23.605	0.881	Neither	0.712942	0.21415	0.362208	no	1.909	18.470	0.103	1.65726375176305	3689	223	1973	1527	38.44	Tnon_mito
ENSG00000138443	ABI2	71.094	50.636	1.404	Neither	-0.655666	0.25665	0.409066	no	6.526	39.621	0.165	0.710665258711721	22209	392	20370	1542	39.51	Tnon_mito
ENSG00000108798	ABI3	7.506	7.851	0.956	Neither	0.255942	0.65155	0.765342	no	0.689	6.144	0.112	#N/A	2109	497	509	1101	54.13	Tnon_mito
ENSG00000097007	ABL1	51.673	16.846	3.067	enriched	-7.37993	0.00005	0.000236361	yes	4.743	13.181	0.360	0.497566909975669	5766	380	1991	3450	44.47	Tpossible_mito
ENSG00000143322	ABL2	94.483	45.398	2.081	enriched	-2.15974	0.00215	0.0074972	yes	8.673	35.522	0.244	0.219094922737307	12144	286	223	3549	41.31	Tnon_mito
ENSG00000099204	ABLIM1	91.782	39.952	2.297	enriched	-2.66868	0.00005	0.000236361	yes	8.425	31.261	0.270	1.09162717219589	7690	649	21	2337	42.59	Tnon_mito
ENSG00000163995	ABLIM2	0.496	1.938	0.256	depleted	2.01422	0.00055	0.00217644	yes	0.046	1.516	0.030	#N/A	3396	217	1016	1941	54	Tnon_mito
ENSG00000173210	ABLIM3	3.275	3.254	1.006	Neither	-0.0140759	0.9752	0.981976	no	0.301	2.546	0.118	#N/A	4569	1667	863	2052	44.42	Tnon_mito
ENSG00000159842	ABR	50.316	28.988	1.736	Neither	-1.16607	0.0376	0.0923249	no	4.619	22.683	0.204	1.87280108254398	5595	522	57	2616	55.2	Tnon_mito
ENSG00000146386	ABRACL	2.652	6.014	0.441	depleted	3.90825	0.00005	0.000236361	yes	0.243	4.706	0.052	1.33	845	193	#N/A	246	44.2	Tnon_mito
ENSG00000114626	ABTB1	1.233	2.407	0.512	Neither	1.97341	0.00055	0.00217644	yes	0.113	1.883	0.060	#N/A	5061	308	#N/A	1437	60.38	Tnon_mito
ENSG00000260869	AC002310.13	0.012	3.028	0.004	Neither	0.283074	0.2272	0.376972	no	0.001	2.369	0.000	#N/A	377	96	#N/A	280	51.84	#N/A
ENSG00000188223	AC002398.9	1.093	3.282	0.333	depleted	2.33422	0.0001	0.000452612	yes	0.100	2.568	0.039	#N/A	1037	95	126	168	52.97	#N/A
ENSG00000269026	AC003006.7	3.107	6.376	0.487	Neither	0.682529	0.33435	0.491468	no	0.285	4.989	0.057	#N/A	612	166	#N/A	445	44.91	#N/A
ENSG00000005189	AC004381.6	3.810	7.133	0.534	Neither	0.803374	0.05015	0.117587	no	0.350	5.581	0.063	#N/A	2722	276	187	2325	39.89	#N/A
ENSG00000170468	AC005280.1	2.648	2.402	1.102	Neither	-0.143176	0.79575	0.868909	no	0.243	1.880	0.129	#N/A	2429	53	448	1926	58.62	#N/A
ENSG00000267710	AC006116.20	1.737	1.770	0.981	Neither	0.0104734	0.9675	0.976797	no	0.159	1.385	0.115	#N/A	854	65	301	486	45.68	#N/A
ENSG00000268643	AC006486.9	7.324	23.764	0.308	Neither	1.52203	0.02675	0.0691017	no	0.672	18.595	0.036	#N/A	634	132	#N/A	501	57.4	#N/A
ENSG00000267001	AC006538.4	4.796	4.320	1.110	Neither	-0.115393	0.84585	0.90183	no	0.440	3.380	0.130	#N/A	543	121	#N/A	317	60.13	#N/A
ENSG00000234409	AC006547.14	3.219	2.552	1.261	Neither	-0.895955	0.1186	0.238002	no	0.295	1.997	0.148	#N/A	1475	78	186	1209	68.78	#N/A
ENSG00000218739	AC007390.5	4.502	12.710	0.354	depleted	1.09148	0.008	0.0241465	yes	0.413	9.946	0.042	#N/A	3158	178	288	243	38.06	#N/A
ENSG00000267216	AC010642.1	2.174	2.475	0.878	Neither	0.313222	0.58265	0.713077	no	0.200	1.937	0.103	#N/A	4227	115	#N/A	414	47.15	#N/A
ENSG00000223658	AC011242.6	2.301	3.530	0.652	Neither	1.38486	0.01705	0.0468726	yes	0.211	2.762	0.076	#N/A	1172	#N/A	223	948	38.99	#N/A
ENSG00000228486	AC017099.3	0.716	1.263	0.567	Neither	1.34432	0.0015	0.00542959	yes	0.066	0.988	0.067	#N/A	1356	144	222	798	45.08	#N/A
ENSG00000267740	AC024592.12	0.358	1.209	0.296	Neither	0.714383	0.4543	0.60491	no	0.033	0.946	0.035	#N/A	2118	78	105	506	55.09	#N/A
ENSG00000179859	AC025335.1	2.086	2.526	0.826	Neither	1.06137	0.06535	0.146588	no	0.191	1.977	0.097	#N/A	2852	80	2198	573	51.68	#N/A
ENSG00000248235	AC037459.4	16.542	31.705	0.522	Neither	1.35347	0.0219	0.0581333	no	1.518	24.808	0.061	#N/A	977	100	369	875	59.11	#N/A
ENSG00000249319	AC068533.7	3.313	2.163	1.531	Neither	-0.399042	0.4673	0.616393	no	0.304	1.693	0.180	#N/A	922	#N/A	#N/A	922	47.23	#N/A
ENSG00000249240	AC069368.3	7.152	6.736	1.062	Neither	-0.10419	0.85885	0.909568	no	0.657	5.271	0.125	#N/A	1178	68	#N/A	681	50.96	#N/A
ENSG00000233087	AC073869.1	2.737	1.764	1.552	Neither	-1.51914	0.00915	0.0271816	yes	0.251	1.380	0.182	#N/A	3032	421	1844	765	42.55	#N/A
ENSG00000233757	AC092835.2	12.395	4.745	2.612	enriched	-5.50128	0.00005	0.000236361	yes	1.138	3.713	0.306	#N/A	1850	280	#N/A	1569	41.52	#N/A
ENSG00000268083	AC104534.3	8.687	20.469	0.424	depleted	1.54788	0.0091	0.0270649	yes	0.797	16.016	0.050	#N/A	963	#N/A	#N/A	963	49.98	#N/A
ENSG00000060971	ACAA1	5.550	6.282	0.883	Neither	0.592828	0.30275	0.45893	no	0.509	4.915	0.104	1.14050822122571	4720	206	#N/A	1275	51.46	Tpossible_mito
ENSG00000167315	ACAA2	12.726	15.584	0.817	Neither	0.829522	0.14145	0.27055	no	1.168	12.194	0.096	2.66452074391989	3350	475	341	1194	39.54	Tmito
ENSG00000076555	ACACB	2.686	1.355	1.981	Neither	-0.908942	0.1002	0.208392	no	0.247	1.061	0.232	0.139633286318759	9360	661	1863	7377	46.78	Tpossible_mito
ENSG00000111271	ACAD10	4.806	3.215	1.495	Neither	-0.79963	0.12505	0.247111	no	0.441	2.515	0.175	0.510721247563353	4071	175	#N/A	3273	47.12	Tmito
ENSG00000240303	ACAD11	3.829	2.720	1.408	Neither	-0.472475	0.34455	0.501925	no	0.352	2.128	0.165	#N/A	4142	971	366	2343	37.61	Tpossible_mito
ENSG00000151498	ACAD8	3.526	5.286	0.667	Neither	1.69913	0.0022	0.00765145	yes	0.324	4.136	0.078	0.380710659898477	3315	105	#N/A	1248	47.88	Tmito
ENSG00000177646	ACAD9	9.840	13.916	0.707	Neither	1.47389	0.01105	0.0321034	yes	0.903	10.889	0.083	0.854876615746181	2454	87	145	1866	49.2	Tmito
ENSG00000117054	ACADM	10.095	20.824	0.485	depleted	1.72552	0.0027	0.00918269	yes	0.927	16.294	0.057	0.906700865662071	2619	460	78	1365	40.45	Tmito
ENSG00000122971	ACADS	0.706	2.902	0.243	depleted	6.36184	0.00005	0.000236361	yes	0.065	2.271	0.029	1.60392156862745	1950	150	#N/A	1239	55.49	Tmito
ENSG00000196177	ACADSB	1.955	3.133	0.624	Neither	1.74568	0.0019	0.00670706	yes	0.179	2.452	0.073	2.32162921348315	5859	159	353	1299	40.72	Tmito
ENSG00000072778	ACADVL	99.928	104.776	0.954	Neither	0.220623	0.7001	0.802155	no	9.173	81.984	0.112	0.8183776022972	2352	178	166	2037	58.5	Tmito
ENSG00000157766	ACAN	16.096	3.239	4.969	enriched	-4.47132	0.00005	0.000236361	yes	1.478	2.535	0.583	#N/A	8840	366	241	7593	50.26	Tnon_mito
ENSG00000072818	ACAP1	4.501	19.542	0.230	depleted	3.94643	0.00005	0.000236361	yes	0.413	15.291	0.027	#N/A	4898	207	#N/A	2223	54.56	Tnon_mito
ENSG00000114331	ACAP2	42.931	29.764	1.442	Neither	-0.833363	0.1202	0.240181	no	3.941	23.289	0.169	0.724965706447188	7160	230	276	2337	38.17	Tnon_mito
ENSG00000131584	ACAP3	7.739	8.792	0.880	Neither	0.196414	0.70065	0.802457	no	0.710	6.879	0.103	0.404494382022472	5319	202	112	2505	67.3	Tnon_mito
ENSG00000075239	ACAT1	31.289	38.421	0.814	Neither	0.559215	0.3193	0.476118	no	2.872	30.063	0.096	1.05505415162455	2258	130	#N/A	1284	42.49	Tmito
ENSG00000120437	ACAT2	8.315	23.545	0.353	depleted	1.82832	0.0042	0.0135878	yes	0.763	18.423	0.041	0.856070356070356	3180	1759	#N/A	1194	44.57	Tpossible_mito
ENSG00000182827	ACBD3	23.981	19.808	1.211	Neither	-0.391602	0.4815	0.628515	no	2.201	15.499	0.142	0.74169002803364	3573	54	#N/A	1587	41.45	Tpossible_mito
ENSG00000181513	ACBD4	2.020	2.922	0.691	Neither	0.267256	0.41075	0.56562	no	0.185	2.286	0.081	#N/A	2241	457	534	1026	54.45	Tnon_mito
ENSG00000107897	ACBD5	9.086	6.268	1.449	Neither	-1.99691	0.0005	0.00199644	yes	0.834	4.905	0.170	1.67013888888889	4173	385	43	1605	40.95	Tnon_mito
ENSG00000176244	ACBD7	0.847	2.066	0.410	depleted	3.11201	0.00005	0.000236361	yes	0.078	1.617	0.048	#N/A	1322	47	1006	267	46.04	Tnon_mito
ENSG00000110455	ACCS	0.503	1.400	0.359	depleted	2.04322	0.00005	0.000236361	yes	0.046	1.095	0.042	0.261904761904762	3373	433	421	1506	49.02	Tnon_mito
ENSG00000102977	ACD	16.820	34.661	0.485	depleted	3.29377	0.00005	0.000236361	yes	1.544	27.121	0.057	2.00303951367781	2526	336	21	1635	62.02	Tnon_mito
ENSG00000078124	ACER3	2.122	8.474	0.250	depleted	5.48733	0.00005	0.000236361	yes	0.195	6.631	0.029	1.01530612244898	7378	195	6469	804	38.74	Tnon_mito
ENSG00000087085	ACHE	2.046	6.952	0.294	Neither	1.14238	0.0572	0.131094	no	0.188	5.440	0.035	#N/A	2956	155	#N/A	1854	64.49	Tnon_mito
ENSG00000100813	ACIN1	51.677	38.471	1.343	Neither	-1.15271	0.02635	0.0682502	no	4.744	30.103	0.158	0.60383665164947	4935	417	138	4026	45.36	Tnon_mito
ENSG00000144476	ACKR3	9.171	5.883	1.559	Neither	-1.79874	0.00235	0.00811382	yes	0.842	4.603	0.183	#N/A	2203	283	803	1089	50.01	Tnon_mito
ENSG00000196636	ACN9	4.462	22.946	0.194	depleted	5.25167	0.00005	0.000236361	yes	0.410	17.955	0.023	1.58742632612967	2060	1133	547	378	38.69	Tpossible_mito
ENSG00000122729	ACO1	16.775	16.654	1.007	Neither	-0.0507035	0.9302	0.953274	no	1.540	13.032	0.118	0.858762886597938	7466	132	724	2670	41.71	Tpossible_mito
ENSG00000100412	ACO2	24.252	30.574	0.793	Neither	0.778077	0.0842	0.180751	no	2.226	23.923	0.093	0.748927038626609	2811	21	375	2418	50.27	Tmito
ENSG00000184227	ACOT1	0.298	1.210	0.246	Neither	1.17922	0.2247	0.374302	no	0.027	0.947	0.029	#N/A	1713	307	138	1266	49.47	Tpossible_mito
ENSG00000112304	ACOT13	2.618	5.445	0.481	Neither	0.725151	0.2747	0.429394	no	0.240	4.261	0.056	1.14169381107492	4391	309	3430	423	41.43	Tpossible_mito
ENSG00000119673	ACOT2	6.694	19.273	0.347	depleted	6.15799	0.00005	0.000236361	yes	0.614	15.081	0.041	1.34332833583208	1774	509	139	1452	48.61	Tmito
ENSG00000177465	ACOT4	0.635	1.771	0.359	depleted	4.76994	0.00005	0.000236361	yes	0.058	1.386	0.042	#N/A	2362	253	841	1266	48.17	Tnon_mito
ENSG00000097021	ACOT7	10.617	18.755	0.566	Neither	3.62964	0.00005	0.000236361	yes	0.975	14.675	0.066	4.38386783284742	2429	991	156	1143	54	Tpossible_mito
ENSG00000101473	ACOT8	2.669	7.297	0.366	depleted	2.41518	0.0001	0.000452612	yes	0.245	5.710	0.043	1.56055363321799	3059	90	33	960	49.06	Tpossible_mito
ENSG00000123130	ACOT9	11.682	18.927	0.617	Neither	2.33275	0.00005	0.000236361	yes	1.072	14.809	0.072	1.25991189427313	3117	928	#N/A	1347	44.61	Tmito
ENSG00000161533	ACOX1	29.014	21.026	1.380	Neither	-1.00898	0.05255	0.122226	no	2.663	16.452	0.162	1.0954954954955	7514	289	#N/A	1983	44.33	Tpossible_mito
ENSG00000087008	ACOX3	4.822	4.499	1.072	Neither	-0.192383	0.73235	0.824826	no	0.443	3.520	0.126	0.494764397905759	2860	140	39	2103	51.93	Tpossible_mito
ENSG00000143727	ACP1	12.000	64.047	0.187	depleted	8.30646	0.00005	0.000236361	yes	1.101	50.115	0.022	1.48944591029024	1552	95	978	477	42.67	Tnon_mito
ENSG00000134575	ACP2	23.633	19.843	1.191	Neither	-0.478257	0.3892	0.545598	no	2.169	15.526	0.140	1.25	2203	116	#N/A	1272	52.75	Tnon_mito
ENSG00000155893	ACPL2	7.744	5.678	1.364	Neither	-0.32205	0.3765	0.53377	no	0.711	4.443	0.160	0.416370106761566	4654	1906	1507	1443	44.59	Tnon_mito
ENSG00000167107	ACSF2	3.151	7.921	0.398	depleted	2.92767	0.00005	0.000236361	yes	0.289	6.198	0.047	1.35858585858586	2251	103	282	1923	49.96	Tmito
ENSG00000176715	ACSF3	19.821	17.371	1.141	Neither	-0.477882	0.40745	0.562642	no	1.819	13.592	0.134	0.697058823529412	7020	187	1555	1731	54.76	Tmito
ENSG00000151726	ACSL1	9.080	6.674	1.360	Neither	-0.678522	0.18515	0.327848	no	0.834	5.223	0.160	1.53212121212121	4103	309	63	2097	44.71	Tpossible_mito
ENSG00000123983	ACSL3	85.346	101.352	0.842	Neither	0.797737	0.163	0.29985	no	7.834	79.305	0.099	1.0968622100955	5679	324	2984	2163	39.46	Tpossible_mito
ENSG00000068366	ACSL4	40.706	23.516	1.731	Neither	-2.1096	0.0003	0.00124724	yes	3.737	18.401	0.203	1.47678482276585	5333	264	64	2136	39.16	Tmito
