Significant	-LOG(P-value)'	Difference	Number	Checked	Protein-FDR-Confidence-Combined	Master	Accession	Gene-Name	Exp.-q-value-Combined	Sum-PEP-Score	Coverage	Num-Peptides	Num-PSMs	Num-Unique-Peptides	Num-AAs	MW	pI	Score-Mascot	Num-Peptides-Mascot	Num-Protein-Pathway-Groups	Num-Razor-Peptides	Num-Protein-Groups	Contaminant	Abundances-126	Abundances-127N	Abundances-127C	Abundances-128N	Abundances-128C	Abundances-129N	Abundances-129C	Abundances-130N	Abundances-130C	Abundances-131
	0	NaN	5241	FALSE	High	Master Protein	P21439	ABCB4	0.001	6.592	3	3	11	1	1286	141.4	8.48	NA	3	14	NA	1	TRUE	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	0	NaN	6793	FALSE	High	Master Protein	Q5T3U5	ABCC10	0.063	1.754	NA	1	3	1	1492	161.5	7.08	NA	1	3	NA	1	TRUE	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	0	NaN	5932	FALSE	High	Master Protein	P33897	ABCD1	0.006	4.011	4	2	2	2	745	82.9	8.95	20	2	17	NA	1	TRUE	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	0	NaN	4483	FALSE	High	Master Protein	Q9UBJ2	ABCD2	NA	10.676	9	6	6	6	740	83.2	8.92	21	6	6	NA	1	TRUE	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	0.390155918	0.070700741	1098	FALSE	High	Master Protein	P61221	ABCE1	NA	57.147	26	14	42	14	599	67.3	8.34	294	14	4	NA	1	TRUE	7.124121189	7.104336739	6.966938019	7.118941307	6.813781261	7.05636692	6.94251442	7.147713661	7.068240643	7.266786575
	0.046913174	-0.007739449	202	FALSE	High	Master Protein	Q8NE71	ABCF1	NA	140.327	38	30	82	29	845	95.9	6.8	832	30	2	1	1	TRUE	6.753551006	6.69766283	6.587965012	6.74953413	6.85299778	6.663913727	6.678071976	6.832890034	6.633721828	6.794415951
+	2.125522267	0.517601871	1634	FALSE	High	Master Protein	Q9UG63	ABCF2	NA	42.871	27	18	24	18	623	71.2	7.37	196	18	NA	NA	1	TRUE	7.514122486	7.423746109	7.096978664	6.756222725	7.148730755	7.541483879	7.590961456	7.817623138	7.783325672	7.794415951
	0.234306833	0.055505371	1597	FALSE	High	Master Protein	Q9NUQ8	ABCF3	NA	43.425	32	17	32	17	709	79.7	6.34	206	17	NA	NA	1	TRUE	7.281698227	7.16691637	7.164906979	7.288174152	6.766860008	7.158862114	7.189824581	7.208478451	7.146696091	7.242221355
+	3.035206366	0.497140598	1012	FALSE	High	Master Protein	Q9NUJ1	ABHD10	NA	60.097	47	11	30	11	306	33.9	8.57	377	11	4	NA	1	TRUE	6.780047417	6.51884985	6.221103668	6.352264404	6.449561596	6.893604755	6.924812317	6.95186758	6.98413372	7.053111553
	1.381644478	0.400773907	3263	FALSE	High	Master Protein	Q8NFV4	ABHD11	NA	19.971	23	6	9	6	315	34.7	9.48	104	6	NA	NA	1	TRUE	6.50620842	6.69766283	6.699051857	7.068240643	6.157852173	6.797012806	6.929554462	7.058533192	7.163901329	7.183883667
	0	NaN	5852	FALSE	High	Master Protein	Q8N2K0	ABHD12	0.004	4.266	8	3	3	3	398	45.1	8.65	17	3	9	NA	1	TRUE	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	0.500705452	0.223810387	4783	FALSE	High	Master Protein	Q96IU4	ABHD14B	NA	8.967	26	4	5	4	210	22.3	6.4	64	4	4	NA	1	TRUE	6.139551163	5.921246052	5.760221004	5.669593811	4.935459614	5.899659157	5.882643223	5.802193165	5.875288486	6.085339546
	0	NaN	6862	FALSE	High	Master Protein	O95870	ABHD16A	0.07	1.654	2	1	1	1	558	63.2	8.13	24	1	NA	NA	1	TRUE	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	0	NaN	6023	FALSE	High	Master Protein	Q0P651	ABHD18	0.008	3.7	4	2	2	2	414	46.9	9.28	35	2	NA	NA	1	TRUE	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	0	NaN	5885	FALSE	High	Master Protein	Q8TB40	ABHD4	0.005	4.162	6	2	3	2	342	38.8	7.59	27	2	5	NA	1	TRUE	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	0	NaN	6369	FALSE	High	Master Protein	Q8WTS1	ABHD5	0.022	2.66	6	1	1	1	349	39.1	6.61	20	1	5	NA	1	TRUE	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1.39607309	0.286846447	4889	FALSE	High	Master Protein	Q9BV23	ABHD6	0.001	8.378	9	3	3	3	337	38.3	8.41	49	3	10	NA	1	TRUE	6.510962009	6.301953316	6.147713661	6.031218529	5.842978954	6.419538975	6.411087036	6.523561954	6.515699863	6.399170876
	0.378603556	0.086463737	2484	FALSE	High	Master Protein	Q8IZP0	ABI1	NA	28.725	22	9	16	6	508	55	7.06	78	9	12	2	1	TRUE	7.340740204	7.251718998	6.881420135	7.054197311	6.900866985	7.086401463	7.183883667	7.250771999	7.065011978	7.275193214
	0.161989939	-0.055593586	2937	FALSE	High	Master Protein	Q9NYB9	ABI2	NA	23.229	14	6	10	3	513	55.6	6.16	63	6	13	NA	1	TRUE	6.995484352	7.107478619	6.727920532	6.745506287	6.624978065	6.73606348	6.948367119	6.8740592	6.421223164	6.943686962
+	3.718332827	0.373650837	730	FALSE	High	Master Protein	P00519	ABL1	NA	74.715	33	28	94	24	1130	122.8	8.66	239	28	62	4	1	TRUE	6.545350552	6.54689455	6.373300076	6.381975651	6.529820919	6.73606348	6.79181385	6.91767025	6.835418701	6.96462965
	1.49966451	0.23062582	1591	FALSE	High	Master Protein	P42684	ABL2	NA	43.532	17	15	21	11	1182	128.3	8.07	166	15	7	NA	1	TRUE	6.787902355	6.729280949	6.470862389	6.419538975	6.595444202	6.687900543	6.776103973	6.840463161	6.840463161	7.011227131
	0.005781124	0.00286274	5589	FALSE	High	Master Protein	O14639	ABLIM1	0.002	5.139	6	4	7	3	778	87.6	8.59	32	4	5	NA	1	TRUE	8.71011734	8.707014084	8.29278183	9.183883667	8.321928024	8.523562431	8.570614815	8.712527275	8.712527275	8.710806847
	0.413379195	0.105317974	1892	FALSE	High	Master Protein	Q6H8Q1	ABLIM2	NA	37.801	15	8	10	8	611	67.8	7.94	224	8	5	NA	1	TRUE	6.083213329	5.815063	6.163901329	6.031218529	5.584962368	6.095924377	6.015693665	6.157852173	6.055282593	5.880195618
+	2.222422497	0.65075264	1922	FALSE	High	Master Protein	Q12979	ABR	NA	37.367	21	16	22	14	859	97.5	6.55	123	16	11	NA	1	TRUE	6.772149563	6.578938484	6.296457291	5.79960537	6.469234943	6.834155083	6.9761343	7.099084854	7.07788372	7.182890892
	0.435887969	0.139729786	3663	FALSE	High	Master Protein	Q9P1F3	ABRACL	NA	16.274	36	2	4	2	81	9.1	6.29	115	2	NA	NA	1	TRUE	7.354910374	7.391458511	6.616181374	7.153805256	7.311975479	7.408542156	7.275193214	7.320123672	7.275193214	7.247927666
	1.40679492	0.313775921	4792	FALSE	High	Master Protein	Q6UWZ7	ABRAXAS1	NA	8.938	7	4	5	4	409	46.6	7.05	38	4	17	NA	1	TRUE	6.997744083	7.006746769	6.536052704	6.446256161	6.676662445	7.117902756	6.905687809	7.129282951	6.930737495	7.148730755
	0.010966683	0.003800106	3087	FALSE	High	Master Protein	Q15018	ABRAXAS2	NA	21.759	20	8	9	8	415	46.9	6.21	118	8	4	NA	1	TRUE	6.938991547	6.737416267	6.617650986	6.620586395	6.504620552	6.590961456	6.896029472	6.787902355	6.376776695	6.786596298
	0	NaN	5632	FALSE	High	Master Protein	Q9ULW3	ABT1	0.003	4.981	8	3	6	3	272	31.1	9.88	NA	3	NA	NA	1	TRUE	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	0.966265962	0.186400414	1047	FALSE	High	Master Protein	P09110	ACAA1	NA	58.75	42	12	20	12	424	44.3	8.44	297	12	21	NA	1	TRUE	6.930737495	6.937815189	6.548436642	6.676662445	6.643856049	6.73470974	6.857981205	6.979568005	6.966938019	7.13031292
	1.328264141	0.233182049	709	FALSE	High	Master Protein	P42765	ACAA2	NA	76.745	39	11	38	11	397	41.9	8.09	475	11	10	NA	1	TRUE	6.163901329	6.203592777	6.078951359	5.944858551	5.716990948	6.131342411	6.283551216	6.301953316	6.171927452	6.385430813
	0.909311557	0.164101219	895	FALSE	High	Master Protein	Q13085	ACACA	NA	65.423	15	30	44	25	2346	265.4	6.37	220	30	35	NA	1	TRUE	7.809928894	7.824640751	7.503825665	7.465974331	7.381975651	7.772149563	7.687200546	7.831624031	7.729280949	7.786596298
	0	NaN	3801	FALSE	High	Master Protein	O00763	ACACB	NA	15.191	3	6	8	1	2458	276.4	6.49	85	6	26	NA	1	TRUE	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	0	NaN	4830	FALSE	High	Master Protein	Q6JQN1	ACAD10	0.001	8.738	5	4	4	4	1059	118.8	8.06	38	4	4	NA	1	TRUE	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	0.463087378	0.072484303	3034	FALSE	High	Master Protein	Q9UKU7	ACAD8	NA	22.228	19	8	31	8	415	45	7.85	135	8	5	NA	1	TRUE	6.523561954	6.485426903	6.711494923	6.623515606	6.390598774	6.488643646	6.623515606	6.658211708	6.563768387	6.762880325
	0.406969255	-0.08676796	2131	FALSE	High	Master Protein	Q9H845	ACAD9	NA	33.967	23	12	17	12	621	68.7	7.96	107	12	5	NA	1	TRUE	6.726558685	6.67242527	6.679480076	6.79960537	6.325530529	6.501439095	6.402585983	6.651051521	6.542258263	6.67242527
+	2.914642642	0.593909645	659	FALSE	High	Master Protein	P11310	ACADM	NA	80.462	45	17	43	17	421	46.6	8.37	414	17	24	NA	1	TRUE	7.937815189	7.85049963	7.368942738	7.566053867	7.393176079	8.112700462	8.168922424	8.308339119	8.267254829	8.228818893
	0	NaN	3699	FALSE	High	Master Protein	P16219	ACADS	NA	15.949	10	4	11	4	412	44.3	7.99	83	4	15	NA	1	TRUE	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	0.173977992	-0.044168854	1682	FALSE	High	Master Protein	P45954	ACADSB	NA	41.988	27	10	15	10	432	47.5	6.99	197	10	8	NA	1	TRUE	6.30742836	6.191799641	6.02901125	6.238404751	5.862947464	6.013462067	5.892391205	6.240314484	6.143638134	6.118941307
	2.541424462	0.297538853	371	FALSE	High	Master Protein	P49748	ACADVL	NA	107.542	48	27	66	27	655	70.3	8.75	629	27	15	NA	1	TRUE	7.712182999	7.525912285	7.422905922	7.708049297	7.422905922	7.877130508	7.790511608	7.8169837	7.845489979	7.949534893
	0.583539267	0.11822052	885	FALSE	High	Master Protein	Q15057	ACAP2	NA	66.15	28	19	33	18	778	88	6.8	263	19	1	NA	1	TRUE	7.037821293	6.816343784	6.686500549	6.94251442	6.593951225	6.812498093	6.834155083	7.025693417	6.902073383	7.093813896
	0	NaN	4997	FALSE	High	Master Protein	Q96P50	ACAP3	0.001	7.817	3	2	5	1	834	92.4	5.99	45	2	1	NA	1	TRUE	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
+	2.839890291	0.65131588	268	FALSE	High	Master Protein	P24752	ACAT1	NA	125.142	49	16	68	16	427	45.2	8.85	634	16	23	NA	1	TRUE	7.891783714	7.69766283	7.241268158	7.329123497	7.49345541	7.955940247	8.122051239	8.306973457	8.196232796	8.32867527
	0.291596157	0.068437958	2502	FALSE	High	Master Protein	Q9BWD1	ACAT2	NA	28.577	27	7	12	7	397	41.3	6.92	163	7	18	NA	1	TRUE	5.422905922	5.462706566	5.259272575	5.566815376	5.04875946	5.354028702	5.34695673	5.501439095	5.361066341	5.539158821
	1.12780593	-0.161542511	1027	FALSE	High	Master Protein	Q9H3P7	ACBD3	NA	59.301	35	11	25	11	528	60.6	5.06	340	11	5	NA	1	TRUE	6.861707211	6.723831654	6.896029472	6.902073383	6.553053379	6.487036228	6.605849743	6.745506287	6.648177624	6.642412663
	0.148450542	0.037596989	3234	FALSE	High	Master Protein	Q9BR61	ACBD6	NA	20.2	38	9	11	9	282	31.1	5.11	78	9	4	NA	1	TRUE	7.362820625	7.380244732	7.250771999	7.357552052	7.73470974	7.317412376	7.608069897	7.456970215	7.368069649	7.523561954
	0	NaN	4067	FALSE	High	Master Protein	Q8N6N7	ACBD7	NA	13.393	45	3	8	3	88	9.8	6.71	79	3	4	NA	1	TRUE	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1.630847648	0.168732357	293	FALSE	High	Master Protein	Q9UKV3	ACIN1	NA	120.044	28	35	59	35	1341	151.8	6.43	685	35	7	NA	1	TRUE	6.287250519	6.266786575	6.04875946	6.057450294	6.167919636	6.270528793	6.341629982	6.387155533	6.247927666	6.424586296
+	1.726385431	0.717672348	186	FALSE	High	Master Protein	P53396	ACLY	NA	146.399	38	35	71	35	1101	120.8	7.33	673	35	15	NA	1	TRUE	8.226893425	8.007308006	6.994353294	7.255500793	7.246027946	8.242221832	8.222553253	8.263504028	8.163901329	8.426264763
	0.307877926	0.087831211	840	FALSE	High	Master Protein	P21399	ACO1	NA	68.431	31	23	40	23	889	98.3	6.68	315	23	10	NA	1	TRUE	6.953032494	7.011227131	6.786596298	6.786596298	6.385430813	6.773468971	6.803485394	6.99887228	6.776103973	7.010108471
	0.390367587	0.112440109	222	FALSE	High	Master Protein	Q99798	ACO2	NA	133.485	43	27	59	27	780	85.4	7.61	688	27	14	NA	1	TRUE	7.449561596	7.421223164	7.111657143	7.391458511	6.79960537	7.293701649	7.297374725	7.427103519	7.294620514	7.422905922
	0.278156353	-0.094929409	3962	FALSE	High	Master Protein	Q86TX2	ACOT1	NA	14.03	16	5	9	5	421	46.2	7.34	108	5	7	NA	1	TRUE	6.774786949	6.764208317	6.501439095	6.431288719	6.055282593	6.449561596	6.503030777	6.501439095	6.195741177	6.402585983
	1.338852152	0.189566231	4307	FALSE	High	Master Protein	Q9NPJ3	ACOT13	NA	11.709	40	3	4	3	140	15	9.14	42	3	4	NA	1	TRUE	6.487036228	6.339849949	6.149746895	6.175923824	6.074676514	6.534497261	6.350497246	6.41447401	6.416164398	6.459431648
	1.368978934	0.259834099	1516	FALSE	High	Master Protein	O00154	ACOT7	NA	45.209	40	13	26	13	380	41.8	8.54	190	13	6	NA	1	TRUE	6.417852402	6.300123692	5.894817829	6.070389271	5.899659157	6.366322041	6.338068008	6.419538975	6.320123672	6.437960148
	0.355473754	0.079675007	3018	FALSE	High	Master Protein	O14734	ACOT8	NA	22.38	18	5	10	5	319	35.9	7.56	140	5	15	NA	1	TRUE	5.906890392	6.02014637	5.867896557	5.675251484	5.514122486	5.857981205	5.760221004	5.845489979	5.921246052	5.997744083
	0.896949854	0.154772472	3029	FALSE	High	Master Protein	Q9Y305	ACOT9	NA	22.308	26	10	20	10	439	49.9	8.6	65	10	4	NA	1	TRUE	7.324630737	7.237449169	7.034523964	7.246027946	6.876516819	7.25266552	7.21626091	7.403438091	7.241268158	7.379378319
	0.147937781	-0.036980057	1621	FALSE	High	Master Protein	Q15067	ACOX1	NA	43.094	30	14	22	14	660	74.4	8.16	148	14	14	NA	1	TRUE	6.925999641	6.781359673	6.620586395	6.750874519	6.400879383	6.795714855	6.593951225	6.635173798	6.5834589	6.686500549
	0.412415341	0.148641872	2854	FALSE	High	Master Protein	O15254	ACOX3	NA	24.217	15	7	7	7	700	77.6	7.25	109	7	14	NA	1	TRUE	5.66675663	5.165912151	5.329123497	5.599912643	4.847996712	5.375039577	5.412781715	5.560714722	5.329123497	5.675251484
	1.037287572	-0.181005287	3447	FALSE	High	Master Protein	P24666	ACP1	NA	18.279	26	3	10	3	158	18	6.74	152	3	4	NA	1	TRUE	6.982993603	6.931919575	6.719730854	6.87159729	6.499845982	6.572889805	6.607330322	6.616181374	6.548436642	6.756222725
	0	NaN	4850	FALSE	High	Master Protein	P11117	ACP2	0.001	8.599	12	5	5	5	423	48.3	6.74	22	5	1	NA	1	TRUE	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
+	2.679945183	1.363209534	4231	FALSE	High	Master Protein	P13686	ACP5	NA	12.182	10	3	3	3	325	36.6	8.7	104	3	9	NA	1	TRUE	6.607330322	6.244125843	5.121015549	5.061776161	5.87282896	7.162894726	7.143638134	7.123086929	7.110613823	7.182890892
+	2.997916542	0.750809383	5402	FALSE	High	Master Protein	Q9NPH0	ACP6	0.002	5.839	8	3	7	3	428	48.9	6.47	22	3	NA	NA	1	TRUE	5.213347435	5.108524323	4.620586395	5.013462067	4.66675663	5.560714722	5.602884293	5.536052704	5.652486324	6.024585724
	0	NaN	6341	FALSE	High	Master Protein	P15309	ACPP	0.019	2.74	5	2	2	2	386	44.5	6.24	NA	2	3	NA	1	TRUE	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1.92708037	0.299188614	993	FALSE	High	Master Protein	Q96CM8	ACSF2	NA	60.924	33	15	21	15	615	68.1	7.55	255	15	5	NA	1	TRUE	6.330916882	6.309248924	5.95186758	5.911691666	6.057450294	6.449561596	6.350497246	6.354028702	6.412781715	6.490249157
+	1.733151489	0.868986416	4838	FALSE	High	Master Protein	Q4G176	ACSF3	0.001	8.643	10	6	8	6	576	64.1	8.37	20	6	6	NA	1	TRUE	7.19770813	7.006746769	5.820178986	5.835418701	6.770829201	7.404290199	7.404290199	7.318316936	7.344295979	7.504620552
+	2.152380873	0.624642658	2905	FALSE	High	Master Protein	P33121	ACSL1	NA	23.629	15	10	13	10	698	77.9	7.15	42	10	21	NA	1	TRUE	6.595444202	6.699051857	5.947198391	5.98413372	5.911691666	6.87159729	6.892391205	6.85299778	6.772149563	6.87159729
	0	NaN	6426	FALSE	High	Master Protein	O95573	ACSL3	0.025	2.522	2	1	1	1	720	80.4	8.38	28	1	16	NA	1	TRUE	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1.461314599	0.262988377	3136	FALSE	High	Master Protein	O60488	ACSL4	NA	21.204	10	6	7	6	711	79.1	8.38	129	6	16	NA	1	TRUE	7.345183372	7.322829723	7.124121189	7.240314484	6.820178986	7.378511429	7.328226089	7.514911175	7.415319443	7.530601501
	1.161853261	0.15112009	5337	FALSE	High	Master Protein	Q53FZ2	ACSM3	0.002	6.153	4	2	3	2	586	66.1	9.04	20	2	8	NA	1	TRUE	7.962317467	8.057450294	7.745506287	7.923624516	7.796364307	8.01402092	8.192293167	8.044940948	7.917073727	8.072534561
	1.801919655	0.196060753	1405	FALSE	High	Master Protein	Q9NUB1	ACSS1	NA	47.946	21	12	25	12	689	74.8	7.11	170	12	12	NA	1	TRUE	6.114783287	5.914085865	5.889960289	6.02901125	5.85299778	6.207502365	6.063934326	6.236492634	6.044394016	6.228818893
	0.352876987	0.090460682	3510	FALSE	High	Master Protein	Q9NR19	ACSS2	NA	17.589	13	8	12	8	701	78.5	6.46	69	8	15	NA	1	TRUE	5.523561954	5.602884293	5.488643646	5.675251484	5.078951359	5.536052704	5.422905922	5.56985569	5.678071976	5.614709854
